month,SUBDIVISION,n,baseline_rmse,model_rmse,improvement
AUG,Punjab,67,47.63674758427904,48.01251555097369,-0.37576796669464585
AUG,Rayalseema,67,50.22883705382469,51.83528574807278,-1.606448694248087
AUG,Saurashtra & Kutch,67,94.83758053411509,95.58106321314703,-0.743482679031942
AUG,South Interior Karnataka,67,30.330044507403468,31.648865083845564,-1.3188205764420964
AUG,Sub Himalayan West Bengal & Sikkim,67,33.73077701865668,35.4481716785092,-1.7173946598525163
AUG,Tamil Nadu,67,37.120713224133915,38.52340190412981,-1.4026886799958973
AUG,Telangana,67,44.77475381101765,46.398669321669814,-1.6239155106521608
AUG,Uttarakhand,67,25.299558913156215,24.600041169806282,0.6995177433499329
AUG,Vidarbha,67,30.055613363320496,30.793230940014215,-0.7376175766937187
AUG,West Madhya Pradesh,67,31.76227777205046,32.29968767687884,-0.5374099048283796
AUG,West Rajasthan,67,61.3435918431974,62.525164422849905,-1.181572579652503
AUG,West Uttar Pradesh,67,40.76083964448174,40.311304696806005,0.4495349476757369
SEP,Andaman & Nicobar Islands,67,30.681478321377345,32.48924643307401,-1.8077681116966637
SEP,Arunachal Pradesh,64,36.80932916998371,36.124727225910874,0.6846019440728384
SEP,Assam & Meghalaya,67,29.840011872782643,30.977371993932337,-1.137360121149694
SEP,Bihar,67,36.6739411796652,38.501855926657335,-1.8279147469921355
SEP,Chhattisgarh,67,35.65335298405525,36.838641043903635,-1.1852880598483821
SEP,Coastal Andhra Pradesh,67,37.07745264411603,38.276112690381304,-1.1986600462652746
SEP,Coastal Karnataka,67,49.22586393525841,51.108719653284105,-1.882855718025695
SEP,East Madhya Pradesh,67,51.69763471226454,53.216107749357576,-1.5184730370930382
SEP,East Rajasthan,67,69.51811115079691,71.48443081470016,-1.9663196639032492
SEP,East Uttar Pradesh,67,44.05096720574912,45.921847608482615,-1.8708804027334978
SEP,Gangetic West Bengal,67,41.357861323830754,41.95465197796498,-0.5967906541342245
SEP,Gujarat Region,67,80.38802777105555,83.22702574174006,-2.8389979706845168
SEP,Haryana Delhi & Chandigarh,67,68.20866497129958,69.8605924166804,-1.6519274453808208
SEP,Himachal Pradesh,67,57.76188226387219,57.89956178023067,-0.13767951635848164
SEP,Jammu & Kashmir,67,83.55093290771762,81.3841950919663,2.1667378157513184
SEP,Jharkhand,67,35.818455072035526,37.058996934207904,-1.2405418621723783
SEP,Kerala,67,53.82281509136627,55.53327517574449,-1.7104600843782194
SEP,Konkan & Goa,67,47.16298816386471,48.93035365323203,-1.7673654893673216
SEP,Lakshadweep,67,53.268290364830186,53.1756294052775,0.09266095955268838
SEP,Madhya Maharashtra,67,41.598932184057325,42.2757357252309,-0.6768035411735767
SEP,Matathwada,67,46.72755434939689,48.37239368292968,-1.6448393335327935
SEP,Naga Mani Mizo Tripura,67,24.354989361353187,25.001545969529996,-0.6465566081768088
SEP,North Interior Karnataka,67,45.78932017518725,47.13879700699804,-1.3494768318107901
SEP,Orissa,67,31.487039997546816,33.07448125113005,-1.5874412535832363
SEP,Punjab,67,95.02960027769501,97.28026357046205,-2.250663292767044
SEP,Rayalseema,67,40.56237476774883,42.59178350089273,-2.029408733143903
SEP,Saurashtra & Kutch,67,100.78703323244648,106.00463054091563,-5.217597308469152
SEP,South Interior Karnataka,67,38.288856676200105,39.4117653608777,-1.122908684677597
SEP,Sub Himalayan West Bengal & Sikkim,67,25.432903411712484,26.703070434311073,-1.2701670225985886
SEP,Tamil Nadu,67,36.520840540816714,37.79197661796986,-1.2711360771531446
SEP,Telangana,67,45.34327636518734,46.930502215551684,-1.5872258503643408
SEP,Uttarakhand,67,47.82041880688507,48.70309822782679,-0.8826794209417201
SEP,Vidarbha,67,47.516555481976255,49.318491707536054,-1.8019362255597997
SEP,West Madhya Pradesh,67,64.43874254502555,66.61081977336585,-2.1720772283402994
SEP,West Rajasthan,67,95.93711350573848,100.27485074712237,-4.337737241383891
SEP,West Uttar Pradesh,67,57.32809767488577,57.766952201720244,-0.4388545268344757
